Package     Version
----------- -------
aiohttp     3.10.5
cachetools  5.5.0
click-log   0.4.0
cmakelang   0.6.13
cmakelint   1.4.3
cpplint     1.6.1
dbus-python 1.3.2
djlint      1.35.2
gitlint     0.19.1
httplib2    0.22.0
mypy        1.11.2
pip         24.2
proto-plus  1.24.0
pyls-black  0.4.7
pyls-isort  0.2.2
pylsp-rope  0.1.16
requests    2.32.3
rsa         4.9
setuptools  74.1.2
sqlfluff    3.1.1
uritemplate 4.1.1
yamllint    1.35.1
